106,GS,"44,900",550,-1.21%,"5,000","41,719","92,915",15.59,"79,238",17.10,4.12,
107,엔씨소프트,"190,700","2,500",-1.29%,500,"41,084","21,544",32.38,"48,472",-131.79,2.99,
108,KODEX KOFR금리액티브(합성),"110,660",10,+0.01%,0,"40,645","36,730",0.00,"231,251",N/A,N/A,
109,LG이노텍,"167,500","5,000",+3.08%,"5,000","39,642","23,667",23.30,"107,060",13.72,8.92,
110,한미약품,"309,000","5,000",+1.64%,"2,500","39,586","12,811",13.40,"32,969",36.87,11.89,
111,두산로보틱스,"60,700",700,-1.14%,500,"39,346","64,820",3.36,"170,556",-70.25,-8.69,
112,현대차우,"167,700",800,+0.48%,"5,000","39,143","23,341",57.91,"60,490",3.95,N/A,
113,강원랜드,"17,880",80,-0.45%,500,"38,253","213,940",14.20,"250,108",11.23,12.09,
114,한화엔진,"45,400",350,-0.77%,"1,000","37,885","83,447",17.69,"4,054,320",41.65,25.64,
115,SK바이오사이언스,"46,650",300,+0.65%,500,"36,559","78,369",6.13,"30,584",-69.01,-3.07,
116,한국가스공사,"39,100",50,+0.13%,"5,000","36,094","92,313",9.94,"97,218",3.84,11.21,
117,KODEX 종합채권(AA-이상)액티브,"118,895",35,-0.03%,0,"35,943","30,231",0.00,"15,029",N/A,N/A,
118,KCC,"392,000","3,000",-0.76%,"5,000","34,835","8,886",10.43,"5,668",4.31,6.08,
119,CJ제일제당,"230,000","1,000",+0.44%,"5,000","34,625","15,054",17.67,"24,984",28.04,1.97,
120,에코프로머티,"49,250",150,+0.31%,500,"34,442","69,932",21.22,"130,680",-46.90,-5.56,
121,한전기술,"90,000",100,+0.11%,200,"34,398","38,220",10.69,"103,535",34.63,10.40,
122,SKC,"90,500",400,+0.44%,"5,000","34,271","37,868",12.11,"64,185",-8.52,-34.34,
123,TIGER 미국테크TOP10 INDXX,"26,720",15,+0.06%,0,"33,801","126,500",0.04,"448,597",N/A,N/A,
124,포스코DX,"21,750",50,+0.23%,500,"33,068","152,035",3.14,"118,475",42.40,17.92,
125,풍산,"117,900",0,0.00%,"5,000","33,041","28,024",24.65,"67,464",17.06,11.33,
126,산일전기,"104,300","1,900",-1.79%,500,"31,754","30,445",11.66,"311,032",26.34,29.88,
127,롯데지주,"30,050",350,-1.15%,200,"31,525","104,909",8.21,"209,625",-3.18,-15.56,
128,HD현대마린엔진,"92,900",800,+0.87%,"2,500","31,513","33,921",12.91,"274,962",34.54,28.34,
129,대한조선,"81,700",900,+1.11%,"5,000","31,476","38,526",0.57,"298,430",6.56,55.26,
130,서울보증보험,"44,850","1,250",+2.87%,"2,500","31,315","69,822",0.87,"61,082",14.70,4.12,
131,KODEX 미국나스닥100,"21,695",15,+0.07%,0,"30,622","141,150",0.03,"501,869",N/A,N/A,
132,에스원,"80,200",600,+0.75%,500,"30,475","37,999",56.13,"8,730",16.31,10.85,
133,현대엘리베이터,"76,700",600,-0.78%,"5,000","29,984","39,092",25.71,"59,397",12.71,14.42,
134,대한전선,"15,220",40,-0.26%,"1,000","28,377","186,447",7.01,"298,241",97.56,5.85,
135,TIGER 200,"42,925",420,+0.99%,0,"28,373","66,100",10.84,"579,277",N/A,N/A,
136,한미사이언스,"41,200",200,+0.49%,500,"28,177","68,392",2.24,"58,538",46.45,7.30,
137,금호석유화학,"106,200",700,-0.65%,"5,000","28,100","26,460",18.40,"31,255",10.79,5.88,
138,KODEX 200TR,"15,360",150,+0.99%,0,"27,901","181,650",0.00,"269,748",N/A,N/A,
139,동서,"27,450",50,-0.18%,500,"27,368","99,700",4.02,"23,443",19.21,9.52,
140,TIGER KOFR금리액티브(합성),"109,605",0,0.00%,0,"27,288","24,897",0.00,"52,238",N/A,N/A,
141,한화생명,"3,120",5,-0.16%,"5,000","27,098","868,530",10.33,"689,559",4.01,6.98,
142,롯데케미칼,"61,800",0,0.00%,"5,000","26,435","42,775",21.42,"51,442",-1.25,-11.44,
143,HD현대인프라코어,"13,960",380,+2.80%,"1,000","26,364","188,851",16.33,"855,540",60.17,5.92,
144,영원무역,"58,700",500,+0.86%,500,"26,011","44,311",30.06,"14,050",7.01,12.32,
145,농심,"426,500","2,000",-0.47%,"5,000","25,942","6,083",18.74,"33,360",17.31,6.17,
146,한화비전,"51,300",300,+0.59%,500,"25,901","50,488",22.83,"90,142","-1,425.00",N/A,
147,F&F,"65,700",400,+0.61%,100,"25,168","38,307",10.64,"24,260",7.48,25.27,
148,현대해상,"27,900",100,+0.36%,500,"24,943","89,400",35.24,"80,915",3.66,15.75,
149,RISE 머니마켓액티브,"54,620",5,+0.01%,0,"24,383","44,642",0.90,"115,501",N/A,N/A,
150,한온시스템,"3,585",10,+0.28%,100,"24,334","678,763",5.17,"336,491",-5.78,-13.90,
151,미스토홀딩스,"40,450",50,+0.12%,"1,000","24,309","60,096",37.76,"31,919",19.65,4.30,
152,TIGER 미국필라델피아반도체나스닥,"20,650",25,-0.12%,0,"24,222","117,300",0.07,"309,157",N/A,N/A,
153,KODEX CD1년금리플러스액티브(합성),"1,021,865",50,0.00%,0,"23,978","2,346",0.00,"21,843",N/A,N/A,
154,시프트업,"40,450",300,-0.74%,200,"23,777","58,782",37.20,"53,295",14.64,31.30,
155,신영증권,"144,200","6,500",-4.31%,"5,000","23,706","16,440",6.76,"40,415",18.69,6.45,
156,더존비즈온,"77,500",700,-0.90%,500,"23,547","30,383",10.51,"138,055",39.70,17.03,
157,코스맥스,"207,000","4,000",-1.90%,500,"23,493","11,350",32.77,"108,703",37.91,20.53,
158,엘앤에프,"64,400",400,+0.63%,500,"23,388","36,316",13.62,"254,259",-5.63,-41.74,
159,ACE 미국30년국채액티브(H),"7,575",5,-0.07%,0,"23,081","304,700",0.00,"1,339,668",N/A,N/A,
160,SK가스,"248,000","1,500",-0.60%,"5,000","22,928","9,245",7.20,"3,813",8.85,6.74,
161,제일기획,"19,800",40,+0.20%,200,"22,778","115,041",22.82,"53,922",12.71,15.12,
162,ACE 미국S&P500,"22,560",0,0.00%,0,"22,650","100,400",0.11,"385,549",N/A,N/A,
163,한전KPS,"50,200",350,+0.70%,200,"22,590","45,000",11.61,"74,992",17.19,13.26,
164,TIGER 미국배당다우존스,"12,315",25,+0.20%,0,"22,358","181,550",0.06,"732,412",N/A,N/A,
165,한국앤컴퍼니,"23,450",450,-1.88%,500,"22,262","94,935",9.81,"41,018",7.42,8.28,
166,iM금융지주,"13,690",140,-1.01%,"5,000","22,185","162,055",44.66,"148,572",8.98,3.60,
167,SK아이이테크놀로지,"27,050",100,+0.37%,"1,000","22,123","81,787",5.71,"43,011",-10.91,-10.41,
168,아모레퍼시픽홀딩스,"26,900",250,-0.92%,500,"21,374","79,458",11.34,"61,910",24.57,7.57,
169,코리안리,"10,940",20,-0.18%,500,"21,313","194,821",26.52,"59,961",6.02,9.45,
170,달바글로벌,"172,500","2,000",-1.15%,100,"21,194","12,286",9.62,"100,277",29.62,26.21,
171,KODEX 레버리지,"24,435",485,+2.03%,0,"21,051","86,150",0.62,"12,992,481",N/A,N/A,
